length,relative_time,label,is_outgoing
74,0.0,0,1
74,0.0136826038360595,0,1
74,0.0185072422027587,0,0
66,0.0185508728027343,0,1
74,0.0328092575073242,0,0
66,0.0328505039215087,0,1
1621,0.0723817348480224,0,1
1631,0.0729517936706543,0,1
66,0.0939657688140869,0,0
66,0.0944635868072509,0,0
66,0.09446382522583,0,0
66,0.0948290824890136,0,0
1241,0.3944411277770996,0,0
66,0.3945178985595703,0,1
146,0.3961482048034668,0,1
66,0.4286818504333496,0,0
99,0.42877197265625,0,1
66,0.4525268077850342,0,0
1236,0.5444307327270508,0,0
66,0.5446426868438721,0,1
146,0.5463664531707764,0,1
66,0.5627665519714355,0,0
99,0.5628070831298828,0,1
66,0.5828266143798828,0,0
145,0.5924282073974609,0,0
66,0.6359264850616455,0,1
145,0.7577676773071289,0,0
66,0.7578878402709961,0,1
1090,0.7585527896881104,0,0
66,0.7586276531219482,0,1
490,0.7822220325469971,0,0
66,0.7823619842529297,0,1
145,0.8109171390533447,0,0
66,0.852069616317749,0,1
687,0.923302412033081,0,0
66,0.9233579635620116,0,1
2746,0.9245550632476808,0,1
492,0.924565315246582,0,1
66,0.9431807994842528,0,0
66,0.9438881874084472,0,0
66,0.944216012954712,0,0
602,0.9949970245361328,0,1
66,1.0171313285827637,0,0
145,1.0592496395111084,0,0
66,1.0593252182006836,0,1
1090,1.0622358322143557,0,0
66,1.0623090267181396,0,1
490,1.0777130126953125,0,0
66,1.0777671337127686,0,1
2114,1.1834328174591064,0,0
610,1.1834332942962646,0,0
66,1.1834886074066162,0,1
2746,1.1847143173217771,0,1
492,1.184720516204834,0,1
66,1.2030141353607178,0,0
66,1.2039811611175537,0,0
66,1.2039813995361328,0,0
680,1.3114449977874756,0,0
66,1.3115007877349854,0,1
2144,1.3122735023498535,0,1
602,1.3482415676116943,0,0
602,1.3486857414245603,0,1
66,1.354677677154541,0,0
66,1.35467791557312,0,0
66,1.367556095123291,0,0
1090,1.5078651905059814,0,0
1090,1.508192777633667,0,0
1248,1.508193016052246,0,0
66,1.5082895755767822,0,1
4162,1.5111606121063232,0,0
66,1.5113201141357422,0,1
1090,1.5118470191955566,0,0
1090,1.5120787620544434,0,0
66,1.5121071338653564,0,1
1090,1.5134284496307373,0,0
1090,1.51348876953125,0,0
66,1.5135092735290527,0,1
228,1.5144941806793213,0,0
1248,1.5539450645446775,0,0
66,1.5540003776550293,0,1
1248,1.5541343688964844,0,0
1248,1.5544354915618896,0,0
66,1.5544664859771729,0,1
864,1.5727946758270264,0,0
66,1.6160211563110352,0,1
1514,1.6730928421020508,0,0
66,1.6731712818145752,0,1
1248,1.6731793880462646,0,0
66,1.6731846332550049,0,1
1630,1.6740801334381104,0,1
768,1.6937196254730225,0,0
66,1.6937198638916016,0,0
66,1.6942527294158936,0,0
66,1.7359204292297363,0,1
602,1.8400671482086184,0,0
66,1.8401024341583248,0,1
1514,1.852797031402588,0,0
66,1.852827072143555,0,1
182,1.8726184368133545,0,0
1630,1.8735699653625488,0,1
1630,1.873586893081665,0,1
66,1.8971638679504397,0,0
66,1.898350477218628,0,0
66,1.898350715637207,0,0
